				manner2	manner2	manner2	manner2	manner2	manner2	manner2	manner1	manner1			manner1	place1	place2	place2		place1	place2	place2	place2	place2	place1	place2	place2	place2	place1	place2	place2	place2	phonation	phonation	phonation	phonation	phonation	phonation	height	height	backness	backness			
IPA	X-SAMPA	consonantal	syllabic	nasal	stop	fricative	approximant	trill	flap	affricate	continuant	sonorant	lateral	rhotic	liquid	labial	bilabial	labiodental	lingual	coronal	dental	alveolar	post-alveolar	retroflex	dorsal	palatal	velar	uvular	laryngeal	pharyngeal	epiglottal	glottal	egressive	voice	nasalization	aspiration	ejective	click	high	low	front	back	round	tense	long
ʀ	R\	+	-	-	-	-	-	+	-	-	+	+	-	+	+	-	-	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɹ	r\	+	-	-	-	-	+	-	-	-	+	+	-	+	+	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɺ	l\	+	-	-	-	-	-	-	+	-	-	-	+	+	+	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɻ	r\`	+	-	-	-	-	+	-	-	-	+	+	-	+	+	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɽ	r`	+	-	-	-	-	-	-	+	-	-	-	-	+	+	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ɾ	4	+	-	-	-	-	-	-	+	-	-	-	-	+	+	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
ʁ	R	+	-	-	-	+	-	-	-	-	+	-	-	+	+	-	-	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
s	s	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ʂ	s`	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ʃ	S	+	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
